coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_ft_worker_work2_asc,-2.2299646028373283,F
coef_pt_worker_work2_asc,-3.053210217792869,F
coef_univ_work1_asc,-0.03512262159619395,F
coef_univ_work2_asc,-4.273977589792953,F
coef_univ_school2_asc,-3.6427817248478216,F
coef_univ_work_and_school_asc,-0.30939120609912124,F
coef_driving_age_child_school2_asc,-2.7251668422754034,F
coef_driving_age_child_work_and_school_asc,-0.5798868292136926,F
coef_pre_driving_age_child_school2_asc,-3.1780942608698,F
coef_female_work1,-0.4771380069743096,F
coef_female_work2,-0.12381580879699408,F
coef_female_school1,0.0,T
coef_female_school2,0.040732633258931845,F
coef_female_work_and_school,-0.4772125911621104,F
coef_female_univ_work1,0.0,F
coef_under_25_work1,0.0,T
coef_under_25_work2,-0.054559197614391305,F
coef_under_25_school1,0.0,F
coef_under_25_school2,0.8377125292168207,F
coef_under_25_work_and_school,0.0,T
coef_can_walk_to_work_work2,0.3061148644027494,F
coef_can_walk_to_work_school2,0.46353815506242013,F
coef_can_walk_to_work_and_school,0.0,T
coef_round_trip_auto_time_to_work_work2,-0.032169263358488014,F
coef_round_trip_auto_time_to_work_school2,0.0,T
coef_round_trip_auto_time_to_work_work_and_school,0.0,T
coef_round_trip_auto_time_to_school_school2,-0.0047968746404926784,F
coef_round_trip_auto_time_to_school_work_and_school,-0.00629065249515956,F
coef_student_employed,0.0,T
coef_non_student_goes_to_school,0.0,F
coef_no_cars_in_hh_work2,-0.9561161549263469,F
coef_no_cars_in_hh_school2,-0.7426051545678066,F
coef_no_cars_in_hh_work_and_school,-1.6309662016888353,F
coef_few_cars_than_drivers_school2,-0.391438984364911,F
coef_num_preschool_in_hh_work1,-0.8878250944522524,F
coef_num_preschool_in_hh_work2,-0.030201882787996848,F
coef_num_preschool_in_hh_school1,0.0,F
coef_num_preschool_in_hh_school2,0.0,T
coef_num_preschool_in_hh_work_and_school,0.0,T
coef_num_non_workers_in_hh_school1,0.0,F
coef_hh_income_gt_100k_work,-0.7245382063917889,F
coef_hh_income_gt_100k_school1,0.0,F
coef_hh_income_gt_100k_worker_work_and_school,0.0,F
coef_hh_income_gt_100k_student_work_and_school,0.0,T
coef_non_family_hh_category1,0.0,F
coef_non_family_hh_category2,0.0,F
coef_num_under_16_not_at_school_work2,0.0,T
coef_num_under_16_not_at_school_school2,-0.6076572378365618,F
coef_num_under_16_not_at_school_work_and_school,-0.7947251531287812,F
coef_home_urban_work1,-0.32503937274900646,F
coef_home_urban_work2,0.0,T
coef_home_urban_school1,0.0,F
coef_home_urban_school2,0.0,T
coef_home_urban_work_and_school,0.0,T
coef_under_35_work1,0.0,T
coef_hh_income_gt_50k_work,0.0,T
coef_under_35_work2,0.0,T
coef_under_35_school1,0.0,T
coef_hh_income_gt_50k_school1,0.0,T
coef_under_35_school2,0.0,T
coef_under_35_work_and_school,0.0,T
coef_hh_income_gt_50k_worker_work_and_school,0.0,T
coef_hh_income_gt_50k_student_work_and_school,0.0,T
