coefficient_name,value,constrain
coef_0Autos_1day,0.293,F
coef_0Autos_23day,0.407,F
coef_0Autos_4day,0.409,F
coef_1Auto_1day,0.254,F
coef_1Auto_23day,0.229,F
coef_1Auto_4day,0.00,T
coef_2plusAdultsInHH_1day,0.265,F
coef_2plusAdultsInHH_23day,0.294,F
coef_2plusAdultsInHH_4day,-0.149,F
coef_3plusAutos_1day,-0.335,F
coef_3plusAutos_23day,-0.342,F
coef_3plusAutos_4day,0.00,T
coef_CollegeStudent_1day,-0.263,F
coef_CollegeStudent_23day,-0.404,F
coef_CollegeStudent_4day,0.00,T
coef_DistanceToWork_1day,0.0294,F
coef_DistanceToWork_23day,0.0431,F
coef_DistanceToWork_4day,0.0118,F
coef_Female_1day,0.141,F
coef_Female_23day,0.209,F
coef_Female_4day,0.00,T
coef_HasChildren0to5_1day,0.171,F
coef_HasChildren0to5_23day,0.248,F
coef_HasChildren0to5_4day,-0.184,F
coef_HasChildren6to12_1day,0.00,T
coef_HasChildren6to12_23day,0.241,F
coef_HasChildren6to12_4day,0.00,T
coef_Income100to150k_1day,0.916,F
coef_Income100to150k_23day,0.940,F
coef_Income100to150k_4day,0.00,T
coef_Income150kplus_1day,1.27,F
coef_Income150kplus_23day,1.20,F
coef_Income150kplus_4day,0.00,T
coef_Income60to100k_1day,0.677,F
coef_Income60to100k_23day,0.551,F
coef_Income60to100k_4day,0.00,T
coef_OneAdultInHH_1day,0.433,F
coef_OneAdultInHH_23day,0.433,F
coef_OneAdultInHH_4day,0.00,T
coef_PartTimeWorker_1day,-0.212,F
coef_PartTimeWorker_23day,0.432,F
coef_PartTimeWorker_4day,0.00,T
coef_PaysToPark_1day,0.00,T
coef_PaysToPark_23day,0.00,T
coef_PaysToPark_4day,0.00,T
coef_temp_calib_1day,-3.80,F
coef_temp_calib_23day,-4.58,F
coef_temp_calib_4day,-3.36,F
