coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO,1.0,T
coef_nest_NONMOTORIZED,1.0,T
coef_nest_TRANSIT,1.0,T
coef_nest_WALKACCESS,1.0,T
coef_nest_PNRACCESS,1.0,T
coef_nest_KNRACCESS,1.0,T
coef_nest_RIDEHAIL,1.0,T
coef_nest_SCHOOLBUS,1.0,T
# Work
coef_ivt_work,-0.04262768149935992,T
coef_cost_work,-0.000627,T
coef_iwait_work,-0.0633888,T
coef_xwait_work,-0.0650928,T
coef_xfers_drv_work,0.0,T
coef_walktimeshort_work,-0.0778728,T
coef_walktime_work,-0.0586176,T
coef_auxwalk_work,-0.0852,T
coef_bike_time_work,-0.0625368,T
coef_drivetime_work,-0.129,T
coef_ASC_s2_da_work,0.333,F
coef_ASC_s3_da_work,0.418,F
coef_ASC_s3_s2_work,-0.183,F
coef_ASC_walk_da_work,-2.23,F
coef_ASC_walk_s2_work,-3.22,F
coef_ASC_walk_s3_work,-3.92,F
coef_ASC_bike_walk_work,-1.51,F
coef_ASC_walktrn_s2_work,-3.98,F
coef_ASC_walktrn_s3_work,-5.08,F
coef_ASC_walktrn_walk_work,-1.09,F
coef_ASC_walktrn_bike_work,0.00,F
coef_ASC_walktrn_taxi_work,-4.31,F
coef_ASC_walktrn_tnc_single_work,-4.31,F
coef_ASC_walktrn_tnc_shared_work,-4.31,F
coef_ASC_wlktrn_mr_work,1.03,F
coef_ASC_wlktrn_bm_work,0.220,F
coef_ASC_wlktrn_cr_work,1.08,F
coef_ASC_pnr_mr_work,2.59,F
coef_ASC_pnr_bm_work,-0.871,F
coef_ASC_pnr_cr_work,1.86,F
coef_ASC_knr_mr_work,3.33,F
coef_ASC_knr_bm_work,-1.47,F
coef_ASC_knr_cr_work,16.0,F
coef_ASC_rh_s2_work,-1.76,F
coef_ASC_rh_s3_work,-2.41,F
coef_ASC_rh_walk_work,0.390,F
coef_ASC_taxi_work,-0.135,F
coef_ASC_tnc_shared_work,-1.23,F
coef_ASC_tnc_single_work,0.837,F
coef_ASC_nostop_s2_da_work,-2.08,T
coef_ASC_nostop_s3_da_work,-2.82,T
coef_ASC_nostop_s3_s2_work,-2.59,T
coef_ASC_obstops_first_s2_da_work,-0.363,T
coef_ASC_obstops_first_s3_da_work,-0.509,T
coef_ASC_obstops_first_s3_s2_work,-1.06,T
coef_ASC_ibstops_last_s2_da_work,-0.279,T
coef_ASC_ibstops_last_s3_da_work,-0.309,T
coef_ASC_ibstops_last_s3_s2_work,-0.837,T
coef_ASC_schbus_da_work,0.0,F
coef_ASC_schbus_s2_work,0.0,F
coef_ASC_schbus_s3_work,0.0,F
coef_ASC_schbus_walk_work,0.0,F
coef_ASC_joint_sr2_work,0.0,F
coef_ASC_joint_sr3_work,0.0,F
coef_ASC_joint_walk_work,0.0,F
coef_ASC_joint_bike_work,0.0,F
coef_ASC_joint_walktrn_work,0.0,F
coef_ASC_joint_knrtrn_work,0.0,F
coef_ASC_joint_pnrtrn_work,0.0,F
coef_ASC_joint_rh_work,0.0,F
# Univ
coef_ivt_univ,-0.0516,T
coef_cost_univ,-0.00000245,T
coef_iwait_univ,-0.0769,T
coef_xwait_univ,-0.0789,T
coef_xfers_drv_univ,0.0,T
coef_walktimeshort_univ,-0.0385,T
coef_walktime_univ,-0.0385,T
coef_auxwalk_univ,-0.0944,T
coef_bike_time_univ,-0.0759,T
coef_drivetime_univ,-0.0939,T
coef_ASC_s2_da_univ,0.0,F
coef_ASC_s3_da_univ,0.0,F
coef_ASC_s3_s2_univ,0.0,F
coef_ASC_walk_da_univ,0.0,F
coef_ASC_walk_s2_univ,0.0,F
coef_ASC_walk_s3_univ,0.0,F
coef_ASC_bike_walk_univ,0.0,F
coef_ASC_walktrn_s2_univ,0.0,F
coef_ASC_walktrn_s3_univ,0.0,F
coef_ASC_walktrn_walk_univ,0.0,F
coef_ASC_walktrn_bike_univ,0.0,F
coef_ASC_walktrn_taxi_univ,0.0,F
coef_ASC_walktrn_tnc_single_univ,0.0,F
coef_ASC_walktrn_tnc_shared_univ,0.0,F
coef_ASC_wlktrn_mr_univ,0.0,F
coef_ASC_wlktrn_bm_univ,0.0,F
coef_ASC_wlktrn_cr_univ,0.0,F
coef_ASC_pnr_mr_univ,0.0,F
coef_ASC_pnr_bm_univ,0.0,F
coef_ASC_pnr_cr_univ,0.0,F
coef_ASC_knr_mr_univ,0.0,F
coef_ASC_knr_bm_univ,0.0,F
coef_ASC_knr_cr_univ,0.0,F
coef_ASC_rh_s2_univ,0.0,F
coef_ASC_rh_s3_univ,0.0,F
