Number,Code,Name,Type number,AttrAIRPORT_AM,AttrAIRPORT_LT,AttrAIRPORT_PM,CALIFACTOREXTWORKPLACES,CarAccessTime,CarParkCostPerHour,COMMNO,COMMNO_NEW,DUBAIRES_EXTERNAL2021ADJUSTMENT,ESCORT,EXTMODEL_LAB1,EXTMODEL_LAB2,FACTORWORKPLACESOCCUPIEDBYEXTERNALS,INTERNALWALKTIME_PR,MALL,Old_Zone_No,ORIGINTRAFFICCORRECTION,ORIGINTRAFFICCORRECTION_LT,ORIGINTRAFFICCORRECTION_PM,OTHERS,Parking_rates_2020,Parking_rates_2030,PR Site,SECTOR,SHAREWORKPLACESAM,SHAREWORKPLACETYP1,SHOPPING,TS_Number_Name,VirtualInternDirectDistance,VISITING,WORKPLACES,ZoneParkType,AREA_HECT,TAZXCRD,TAZYCRD
10100200,Ultimate_TIS_Aggregated,Palm_Deira_(01),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,338.31,0,0,NonCBD,4.578,55,25
10100300,Ultimate_TIS_Aggregated,Palm_Deira_(02),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,376.66,0,0,NonCBD,5.675,55,25
10100400,Ultimate_TIS_Aggregated,Palm_Deira_(03),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,334.13,0,0,NonCBD,4.466,55,25
10100500,Ultimate_TIS_Aggregated,Palm_Deira_(04),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,373.27,0,0,NonCBD,5.573,55,25
10100600,Ultimate_TIS_Aggregated,Palm_Deira_(05),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,349.3,0,0,NonCBD,4.881,55,25
10100700,Ultimate_TIS_Aggregated,Palm_Deira_(06),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,226.81,0,0,NonCBD,2.058,55,25
10100800,Ultimate_TIS_Aggregated,Palm_Deira_(07),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,361.01,0,0,NonCBD,5.213,55,25
10100900,Ultimate_TIS_Aggregated,Palm_Deira_(08),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,246.33,0,0,NonCBD,2.427,55,25
10101000,Ultimate_TIS_Aggregated,Palm_Deira_(09),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,301.19,0,0,NonCBD,3.629,55,25
10101100,Ultimate_TIS_Aggregated,Palm_Deira_(10),4,0,0,0,0,4.01,0,101,101,1,0,0,0,0.09,0,0,,0,1,1,0,0,0,0,1,0,0,0,,383.06,0,0,NonCBD,5.869,55,25
